Plo Id|Source Location Id|Destination Location Id|Account Id|Plo Status|Create Date|Publish Date|Confirm Date|Export Date|Order Type|Delivery Type|Plo Line Id|Item Id|Requested Quantity|Unit Price|Total Price|Reference|Dms Location Id|Franchise Code|CustomerOrderReference
PLO_AGRI_RAVAGNOLO_01_5_2025-02-13_02-36-42_0||AGRI_RAVAGNOLO_01|41026000|approved|2025-02-13 02:36:43|2025-02-13 07:33:51||2025-02-14 09:05:16|STK|STOCK|2|3699801M1|1.0|6.42|6.42||1|MF|41026000250213_01
PLO_AGRI_RAVAGNOLO_01_5_2025-02-13_02-36-42_0||AGRI_RAVAGNOLO_01|41026000|approved|2025-02-13 02:36:43|2025-02-13 07:33:51||2025-02-14 09:05:16|STK|STOCK|4|834216M1|1.0|6.28|6.28||1|FT|41026000250213_01
PLO_AGRI_RAVAGNOLO_01_5_2025-02-13_02-36-42_0||AGRI_RAVAGNOLO_01|41026000|approved|2025-02-13 02:36:43|2025-02-13 07:33:51||2025-02-14 09:05:16|STK|STOCK|5|S220PB2507040|1.0|587.14|587.14||1|FT|41026000250213_01
PLO_AGRI_RAVAGNOLO_01_5_2025-02-13_02-36-42_0||AGRI_RAVAGNOLO_01|41026000|approved|2025-02-13 02:36:43|2025-02-13 07:33:51||2025-02-14 09:05:16|STK|STOCK|6|X454303909000|10.0|0.61|6.1||1|FT|41026000250213_01
PLO_AGRI_RAVAGNOLO_01_5_2025-02-13_02-36-42_0||AGRI_RAVAGNOLO_01|41026000|approved|2025-02-13 02:36:43|2025-02-13 07:33:51||2025-02-14 09:05:16|STK|STOCK|7|210552020020|1.0|14.0|14.0|XX|1|FT|41026000250213_01
PLO_AGRI_RAVAGNOLO_01_5_2025-02-13_02-36-42_0||AGRI_RAVAGNOLO_01|41026000|approved|2025-02-13 02:36:43|2025-02-13 07:33:51||2025-02-14 09:05:16|STK|STOCK|8|CH215-9463|1.0|3.69|3.69|XX|1|FT|41026000250213_01
