Plo Id|Source Location Id|Destination Location Id|Account Id|Plo Status|Create Date|Publish Date|Confirm Date|Export Date|Order Type|Delivery Type|Plo Line Id|Item Id|Requested Quantity|Unit Price|Total Price|Reference|Dms Location Id|Franchise Code|CustomerOrderReference
PLO_AGRI_RAVAGNOLO_02_5_2025-01-30_03-16-03_0||AGRI_RAVAGNOLO_02|41026010|approved|2025-01-30 03:16:03|2025-01-30 08:59:13||2025-01-30 12:49:08|STK|STOCK|1|F835300020840|2.0|32.61|65.22||2|FT|41026010250130_01
PLO_AGRI_RAVAGNOLO_02_5_2025-01-30_03-16-03_0||AGRI_RAVAGNOLO_02|41026010|approved|2025-01-30 03:16:03|2025-01-30 08:59:13||2025-01-30 12:49:08|STK|STOCK|3|S120PP154555A|1.0|13.76|13.76|XX|2|FT|41026010250130_01
PLO_AGRI_RAVAGNOLO_02_5_2025-01-30_03-16-03_0||AGRI_RAVAGNOLO_02|41026010|approved|2025-01-30 03:16:03|2025-01-30 08:59:13||2025-01-30 12:49:08|STK|STOCK|4|X549040200000|2.0|10.11|20.22||2|FT|41026010250130_01
